Si,Al,Initial permeability,Maximum permeability,Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
0,0,140,1980,8640,9000,2.9,21520,10.5
0.3,0,137,3860,4980,9300,1.63,21330,14.7
0.68,0,130,7230,2715,9400,0.9,21190,23.1
1.56,0,119,8590,2410,9500,0.8,20810,31.9
2.64,0,200,7280,1567,7500,0.53,20430,42.9
3.04,0,190,7890,1591,8000,0.5,,
3.51,0,300,7200,1367,6700,0.52,19510,52.9
4.33,0,500,5810,1828,7000,0.65,19190,63.3
5.65,0,480,12600,1320,9500,0.41,18370,77
6.08,0,500,19800,927,9500,0.29,,
6.71,0,620,25000,794,9800,0.25,17890,84.1
7.5,0,1100,12000,1328,9100,0.41,17120,90.4
8.77,0,1030,6410,1657,6400,0.54,,
9.77,0,1000,5550,1456,6500,0.55,15450,95
10.77,0,900,4550,1636,4500,0.48,,
12.07,0,670,3640,1457,3300,0.59,13920,93.2
12.67,0,700,3270,1767,3200,0.55,,
14.04,0,800,3300,1733,3500,0.66,,
14.79,0,420,1950,2068,3000,1,12880,69.1
0.04,0.89,480,9540,1856,9300,0.6,,20.5
0.41,0.73,650,8200,1950,9100,0.6,,
0.86,0.65,420,13500,1510,9500,0.48,,28
1.87,0.76,500,12840,1255,9000,0.42,,43.3
2.91,0.96,750,12600,1195,8700,0.4,,54.9
3.33,0.93,980,12250,1137,8800,0.37,,59.2
3.73,0.96,1000,12900,1092,8400,0.33,,63.6
4.71,0.73,650,21700,702,9000,0.27,,78.3
5.8,0.62,800,28500,556,9000,0.18,,84.8
7.23,0.78,620,31900,664,9800,0.21,,92.3
7.95,0.71,900,4250,1572,4100,0.6,,94.8
8.65,0.92,1080,5930,1752,6600,0.6,,101.4
9.9,0.9,630,2940,1552,2600,0.5,,97
10.88,0.96,840,4020,1720,4200,0.57,,85.9
11.62,0.88,820,2770,1500,2300,0.55,,70.3
12.92,0.83,520,2040,1607,1900,0.6,,57.7
14.02,0.9,400,2370,1700,2700,0.7,,53.2
14.65,0.95,260,1680,3000,3300,1.2,,68.2
0.02,2.81,550,13320,1304,9300,0.4,20130,41.5
0.92,2.88,800,11400,1266,8400,0.36,,
1.92,2.87,500,7300,1506,7100,0.46,19530,60.6
2.84,2.94,1100,14030,1020,8700,0.33,,71.6
3.33,2.87,900,12500,923,7300,0.32,,78.5
3.9,2.57,1210,15600,646,6800,0.2,17870,86.3
4.66,2.81,1300,33650,477,8700,0.15,,89.8
5.58,2.74,1400,53800,327,9100,0.099,16770,94.2
6.74,2.78,900,14000,721,6100,0.25,,99.1
7.4,2.73,1220,6750,1445,6400,0.5,14940,97.7
8.99,2.6,1220,4400,1492,3800,0.51,,97.5
9.5,2.7,1350,7720,1118,5300,0.36,13520,91.2
10.76,2.79,1400,11300,762,5200,0.22,,69
11.96,2.7,1020,7460,693,3100,0.23,11620,63.8
13.11,2.68,620,3070,1462,2400,0.32,,
13.75,2.74,430,1640,,,,,
14.84,2.53,340,1060,,,,,
8.34,3.45,1200,10100,980,6100,0.3,,86.5
8.9,3.48,1800,14300,887,7000,0.3,,84.1
9.39,3.52,2000,13800,702,5500,0.22,,75.4
10.36,3.6,2000,7300,96,500,0.07,,72.8
0,4.72,500,13300,1092,8700,0.35,19230,57.8
0.2,4.74,700,15770,1106,9100,0.36,19180,61.1
0.65,4.76,730,11670,1193,8200,0.4,18820,66.9
1.66,4.78,750,8200,1283,6600,0.45,18400,75
2.71,4.69,700,12450,804,6700,0.28,17390,89.8
3.1,4.73,900,13500,700,6100,0.22,,91.2
3.65,4.57,900,24400,603,8100,0.2,16700,94.7
4.84,4.46,1200,43000,328,8300,0.1,15420,102.8
5.54,4.69,1800,36500,335,8500,0.1,,100.7
6.54,4.66,1000,16150,620,6700,0.2,14350,97.7
7.62,4.75,1000,14000,825,7400,0.25,13170,91.4
9,4.71,5000,82000,188,7100,0.054,,66.5
9.61,4.72,5000,79500,212,8000,0.051,11750,76.3
9.98,4.71,3500,69800,262,8600,0.07,,
10.58,4.41,2800,11500,403,3000,0.16,10720,82.9
11.25,4.79,1600,17500,496,5700,0.17,,
12.1,4.51,570,1540,,,,8280,112.8
14.19,4.56,292,525,,,,,
8.57,5.61,6500,20500,522,3900,0.2,,74.7
8.78,5.59,14000,78600,113,4400,0.05,,
9.37,5.59,28400,85300,87,4900,0.038,,83.5
9.62,5.38,35100,117500,28,3350,0.022,11000,81.2
10,5.57,14300,88200,106,4500,0.042,,95.8
10.38,5.58,16000,19500,16,300,0.015,,
10.69,5.39,5200,25600,108,3800,0.091,,
11.63,5.35,1300,4590,293,1950,0.25,,98.5
8.4,6.09,6000,22500,331,4600,0.11,,76.5
9.2,6.21,9000,45000,151,4300,0.07,,
9.42,6.11,14000,75000,87,4200,0.042,8820,
9.66,6.21,27300,162000,29,4350,0.02,,
10.31,6.09,6700,21000,92,3500,0.09,,110.4
10.66,6.17,2900,3800,16,130,0.03,,
0.05,6.56,400,4500,2072,5820,0.67,18870,
0.47,6.47,550,3770,2085,5400,0.65,,
1.7,6.45,770,6100,1350,5300,0.45,16550,97.4
3.66,6.2,2200,20700,423,5900,0.15,14370,
5.53,6.44,2750,40000,295,6800,0.09,13680,
6.69,6.6,4000,11500,576,4300,0.23,12850,
7.36,6.4,4000,12400,532,4500,0.22,12250,75.1
9.68,6.43,20300,91300,36,3150,0.035,9020,106.5
12.15,6.32,510,1520,856,1750,0.7,,
12.84,6.42,230,460,,,,,
13.52,6.46,80,310,,,,,
8.83,7.09,8500,45500,70,3750,0.048,,
9.3,7.1,13100,81900,38,4100,0.039,,
9.8,6.86,7800,16350,74,1750,0.068,,
10.26,7.08,1750,2000,100,240,0.1,,
0,7.37,440,7250,1472,7100,0.44,18380,75.8
0.74,7.43,270,4190,1422,4100,0.49,,97.8
2.43,7.29,200,8750,947,5700,0.3,,98.2
3.34,7.28,1400,23600,317,5000,0.12,14700,103.1
4.49,7.39,1600,11150,877,5200,0.21,,104.6
5.32,7.58,1550,11500,740,5340,0.23,12300,85.1
7.24,7.46,2500,11300,492,3300,0.17,10580,85.1
8.21,7.56,5000,21500,91,2650,0.067,,103.6
8.57,7.54,6000,30500,46,2040,0.035,,106.5
9.49,7.22,6000,13800,127,2420,0.1,8110,122.3
9.98,7.46,2600,5600,282,2050,0.23,,135.1
10.87,7.4,1170,2850,508,1950,0.47,5850,143
0.05,8.63,260,1930,1582,1800,0.67,16130,99.8
0.9,8.94,760,8500,1100,5500,0.43,15210,98.2
1.65,8.83,1100,13500,765,6100,0.22,,95
2.62,8.77,1300,4250,1044,2700,0.38,1085,90
3.55,8.77,900,8850,870,4100,0.25,,89
4.46,8.85,1720,5450,383,2900,0.25,10740,95.4
5.04,8.7,1400,3060,248,880,0.2,,
6.31,8.88,1920,8100,223,2600,0.14,,
7.35,9.09,2600,12300,171,2930,0.12,8100,116.9
7.93,8.91,2650,12700,233,3450,0.15,,128.1
8.99,8.84,2200,5050,402,2450,0.31,5570,144.8
9.89,9,650,1620,,,,4140,163.9
10.68,8.53,230,720,,,,3360,178.5
11.48,8.85,23,30,,,,,
0,11.6,600,2400,,,,15770,99.2
0.62,11.49,900,15900,,,,14410,
1.52,11.31,1100,10650,,,,13200,89.8
2.39,11.55,720,3980,,,,,
3.23,11.75,1150,8300,,,,10840,98.4
4.11,11.63,1100,5700,,,,,
4.98,11.69,1300,6850,,,,7320,130.6
5.81,11.35,1600,4200,,,,,
6.64,11.43,1130,2580,,,,4040,156.2
0.01,13.29,380,12200,,,,13830,
0.79,13.23,400,9850,,,,,91.3
1.55,13.39,640,9800,,,,12350,94.4
2.41,13.11,760,7100,,,,,
3.28,13.12,820,5700,,,,7370,128.5
