Si,Al,Fe,Log(initial permeability),Log(max permeability),Losses,Remanent induction,Coercivity,Saturation polarization,Resistivity
0,0,100,4.941642423,7.590852124,8640,9000,230.77,2.152,10.5
0.3,0,99.7,4.919980926,8.258422462,4980,9300,129.71,2.133,14.7
0.7,0,99.3,4.86753445,8.885994315,2715,9400,71.62,2.119,23.1
1.6,0,98.4,4.779123493,9.058354015,2410,9500,63.66,2.081,31.9
2.6,0,97.4,5.298317367,8.892886141,1567,7500,42.18,2.043,42.9
3,0,97,5.247024072,8.973351414,1591,8000,39.79,,
3.5,0,96.5,5.703782475,8.881836305,1367,6700,41.38,1.951,52.9
4.3,0,95.7,6.214608098,8.66733585,1828,7000,51.73,1.919,63.3
5.6,0,94.4,6.173786104,9.441452093,1320,9500,32.63,1.837,77
6.1,0,93.9,6.214608098,9.893437217,927,9500,23.08,,
6.7,0,93.3,6.429719478,10.1266311,794,9800,19.89,1.789,84.1
7.5,0,92.5,7.003065459,9.392661929,1328,9100,32.63,1.712,90.4
8.8,0,91.2,6.937314081,8.76561455,1657,6400,42.97,,
9.8,0,90.2,6.907755279,8.621553207,1456,6500,43.77,1.545,95
10.8,0,89.2,6.802394763,8.422882512,1636,4500,38.2,,
12.1,0,87.9,6.507277712,8.199738961,1457,3300,46.95,1.392,93.2
12.7,0,87.3,6.551080335,8.092545264,1767,3200,43.77,,
14,0,86,6.684611728,8.101677747,1733,3500,52.52,,
14.8,0,85.2,6.040254711,7.575584652,2068,3000,79.58,1.288,69.1
0,0.9,99.1,6.173786104,9.163248764,1856,9300,47.75,,20.5
0.4,0.7,98.9,6.476972363,9.011889433,1950,9100,47.75,,
0.9,0.6,98.5,6.040254711,9.510444964,1510,9500,38.2,,28
1.9,0.8,97.3,6.214608098,9.460320577,1255,9000,33.42,,43.3
2.9,1,96.1,6.620073207,9.441452093,1195,8700,31.83,,54.9
3.3,0.9,95.8,6.887552572,9.413281216,1137,8800,29.44,,59.2
3.7,1,95.3,6.907755279,9.46498259,1092,8400,26.26,,63.6
4.7,0.7,94.6,6.476972363,9.98506754,702,9000,21.49,,78.3
5.8,0.6,93.6,6.684611728,10.25765937,556,9000,14.32,,84.8
7.2,0.8,92,6.429719478,10.37036129,664,9800,16.71,,92.3
8,0.7,91.3,6.802394763,8.354674262,1572,4100,47.75,,94.8
8.6,0.9,90.5,6.98471632,8.687779492,1752,6600,47.75,,101.4
9.9,0.9,89.2,6.445719819,7.98616486,1552,2600,39.79,,97
10.9,1,88.1,6.733401892,8.299037182,1720,4200,45.36,,85.9
11.6,0.9,87.5,6.70930434,7.926602599,1500,2300,43.77,,70.3
12.9,0.8,86.3,6.253828812,7.620705087,1607,1900,47.75,,57.7
14,0.9,85.1,5.991464547,7.770645234,1700,2700,55.7,,53.2
14.6,1,84.4,5.560681631,7.426549072,3000,3300,95.49,,68.2
0,2.8,97.2,6.309918278,9.497021944,1304,9300,31.83,2.013,41.5
0.9,2.9,96.2,6.684611728,9.341368634,1266,8400,28.65,,
1.9,2.9,95.2,6.214608098,8.895629627,1506,7100,36.61,1.953,60.6
2.8,2.9,94.3,7.003065459,9.548953173,1020,8700,26.26,,71.6
3.3,2.9,93.8,6.802394763,9.433483923,923,7300,25.46,,78.5
3.9,2.6,93.5,7.098375639,9.655026193,646,6800,15.92,1.787,86.3
4.7,2.8,92.5,7.170119543,10.42376834,477,8700,11.94,,89.8
5.6,2.7,91.7,7.244227516,10.89302875,327,9100,7.88,1.677,94.2
6.7,2.8,90.5,6.802394763,9.546812609,721,6100,19.89,,99.1
7.4,2.7,89.9,7.106606138,8.817297784,1445,6400,39.79,1.494,97.7
9,2.6,88.4,7.106606138,8.38935982,1492,3800,40.58,,97.5
9.5,2.7,87.8,7.207859871,8.951569643,1118,5300,28.65,1.352,91.2
10.8,2.8,86.4,7.244227516,9.332558005,762,5200,17.51,,69
12,2.7,85.3,6.927557906,8.917310693,693,3100,18.3,1.162,63.8
13.1,2.7,84.2,6.429719478,8.029432841,1462,2400,25.46,,
13.8,2.7,83.5,6.063785209,7.402451521,,,,,
14.8,2.5,82.7,5.828945618,6.966024187,,,,,
8.3,3.4,88.3,7.090076836,9.220290703,980,6100,23.87,,86.5
8.9,3.5,87.6,7.495541944,9.568014816,887,7000,23.87,,84.1
9.4,3.5,87.1,7.60090246,9.532423871,702,5500,17.51,,75.4
10.4,3.6,86,7.60090246,8.895629627,96,500,5.57,,72.8
0,4.7,95.3,6.214608098,9.495519314,1092,8700,27.85,1.923,57.8
0.2,4.7,95.1,6.551080335,9.66586468,1106,9100,28.65,1.918,61.1
0.6,4.8,94.6,6.593044534,9.364776725,1193,8200,31.83,1.882,66.9
1.7,4.8,93.5,6.620073207,9.011889433,1283,6600,35.81,1.84,75
